P,t,r,CE,LCE
40,2,6,94.41871429,1.253265745
40,8,6,98.287,1.766242637
40,1,6,91.387,1.064845553
20,5,5,93.2,1.167491087
20,2,5,91.347,1.062833296
20,1,5,90.759,1.03428103
20,10,5,97.64,1.627087997
30,5,7,93.098,1.161025045
30,1,7,91.084,1.04982994
70,10,4,89.72,0.988006885
70,1,4,89.03,0.959793372
20,1,0,84.864,0.819988881
30,6,7,95.268,1.324955264
100,3,7,90.981,1.044841613
40,1,0,83.286,0.776919602
70,5,5,97.395,1.584192272
50,5,6,94.118,1.23047498
50,8,6,96.333,1.43568909
50,8,10,92.397,1.11901501
