HV,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model
473,0.04511561,5.286476547,-0.001256149,2.760330579,1.076155466,-0.014697169,52.09611565,5214.821177,-7.220711919,0.075245516,0.201487603,9.545454545,4.495867769,3.980909091,29,2,1,26,69.67272727,0.42674291,16.43487603,-0.087722669
367,0.046147766,4.620453408,-0.001247446,2.661157025,1.07625263,-0.014697169,52.72676065,5277.948742,-6.9013224,0.077697477,0.207107438,9.818181818,5.024793388,4.007272727,29,2,1,26,66.01090909,0.393200943,13.94033058,-0.0737736
418,0.04511561,4.269183751,-0.001256149,2.760330579,1.076155466,-0.014697169,52.37686065,5242.923752,-7.220711919,0.07755884,0.207107438,9.636363636,5.553719008,3.990909091,29,2,1,26,69.20909091,0.427449274,16.26628099,-0.087453517
423,0.045584654,6.106588974,-0.00127877,2.79338843,1.076174874,-0.014697169,52.1179152,5217.003312,-7.072880986,0.073015456,0.194876033,9.454545455,3.900826446,3.976363636,29,2,1,26,69.79727273,0.426341373,16.43487603,-0.087698457
168,0.029846189,3.570183202,0.001777806,1.577597228,1.076589222,-0.012589779,54.90479719,5495.970199,-14.13319469,0.05353068,0.138686389,8.579420579,6.387829952,4.26015984,28,1,1,26,83.25224775,0.250269306,9.849789012,-0.035302136
225,0.039689455,1.844710325,-0.002161097,2.140625,1.076381852,-0.011525651,53.5661792,5356.61792,-7.316699345,0.068540974,0.1665625,9.5,10.625,4.24,28,1,1,26,75.17875,0.302107368,10.42546875,-0.048710662
143,0.015150189,4.292862288,0.006388012,0.9375,1.024003035,-0.011525651,57.520125,5752.0125,-50.21452789,0.058987415,0.158125,8.75,4.75,4.0775,21,2,0,19,79.6,0.319610669,13.82375,-0.047676691
146,0.015080635,5.141296561,0.007269134,0.929239326,1.024008938,-0.012598531,57.59063748,5770.581875,-55.39628499,0.058824708,0.158975781,8.76247505,4.335185916,4.093093812,28,2,0,26,79.44131737,0.312278252,13.40352819,-0.045695986
150,0.014978342,5.874817536,0.008153509,0.916875,1.024014867,-0.013075826,57.661432,5766.1432,-58.28296279,0.058505957,0.15890625,8.775,3.9375,4.10875,28,2,0,26,79.282,0.304663196,12.9531375,-0.04365477
158,0.014843933,6.611152836,0.009030566,0.900579081,1.024020754,-0.013310337,57.73166243,5784.712575,-60.40753139,0.058036176,0.157922747,8.78742515,3.56158342,4.124281437,28,2,0,26,79.1239521,0.296838064,12.47813098,-0.041579879
175,0.014046304,9.822408373,0.012257031,0.805999196,1.024042455,-0.012979576,57.99020723,5804.819744,-65.78643901,0.05495719,0.146453187,8.833166833,2.337331001,4.181458541,28,2,0,26,78.54211788,0.26529473,10.4873862,-0.033544744
154,0.003984064,3.840790757,0.023978508,0.25,1.004820785,-0.011525651,59.25439875,5925.439875,-726.1275587,0.058538703,0.15125,9.5,5,4.15,22,1,0,21,69.53,0.205553767,6.90875,-0.019872322
153,0.00870427,4.722463111,0.020479791,0.439018171,1.024072581,-0.012598531,58.89220819,5900.999261,-166.2858254,0.058457278,0.154073569,9.325349301,4.513448154,4.14750499,28,2,0,26,71.88379242,0.240775067,8.47279469,-0.025568292
158,0.011360927,5.54535531,0.016960782,0.6075,1.024057247,-0.013075826,58.52856888,5852.856888,-101.3074927,0.058243248,0.1558125,9.15,4.05,4.145,28,2,0,26,74.247,0.263959639,9.8413875,-0.030870516
161,0.013238821,6.418004896,0.013463578,0.753558751,1.02404206,-0.013310337,58.16782708,5828.416274,-75.94347123,0.05789633,0.156452544,8.976047904,3.615045358,4.14251497,28,2,0,26,76.59137725,0.279084048,10.99937377,-0.035533062
172,0.017002312,10.70885737,0.000535538,1.110332225,1.023986359,-0.012979576,56.83979987,5689.663967,-44.89981651,0.055374296,0.149496517,8.335664336,2.226664444,4.133366633,28,2,0,26,85.22191808,0.294584682,13.54842315,-0.04534995
183,0.015150189,7.369889134,0.006388012,0.9375,1.024003035,-0.011525651,58.29217375,5829.217375,-50.21452789,0.06396739,0.16875,9,2.75,4.105,22,2,0,20,78.325,0.324808597,13.505,-0.048957848
182,0.015080635,7.62673151,0.007269134,0.929239326,1.024008938,-0.012598531,58.17005929,5828.639941,-55.39628499,0.062402966,0.166551926,8.9500998,2.909088012,4.113732535,28,2,0,26,78.48443114,0.316082062,13.17624384,-0.046572652
172,0.014978342,7.59236592,0.008153509,0.916875,1.024014867,-0.013075826,58.04745637,5804.745637,-58.28296279,0.060785952,0.1636875,8.9,3.0375,4.1225,28,2,0,26,78.6445,0.30713056,12.8097,-0.044185219
171,0.014843933,7.501923251,0.009030566,0.900579081,1.024020754,-0.013310337,57.92583037,5804.168204,-60.40753139,0.059132238,0.16019488,8.850299401,3.133887913,4.131197605,28,2,0,26,78.80329341,0.298044824,12.40996701,-0.041821461
157,0.014046304,7.15270943,0.012257031,0.805999196,1.024042455,-0.012979576,57.47807899,5753.555706,-65.78643901,0.052541713,0.141749859,8.667332667,3.22266345,4.163216783,28,2,0,26,79.38787213,0.262470986,10.62848606,-0.033120182
170,0.015512096,5.029262477,0.008153522,0.945,1.024023328,-0.013075826,57.69140638,5769.140638,-54.34106837,0.055655234,0.15046875,8.65,4.6125,4.1025,28,2,0,26,79.45325,0.303682216,12.91460625,-0.043434373
167,0.015102566,6.07354225,0.009030573,0.913944566,1.024025011,-0.013310337,57.74673936,5786.223283,-58.35627758,0.056703115,0.153913102,8.724550898,3.88235505,4.121137725,28,2,0,26,79.21008982,0.296356318,12.45982027,-0.041478457
