formula,HV
Al18.2Co9.1Cr18.2Cu18.2Fe18.2Ni18.2,473
Al18.2Co18.2Cr9.1Cu18.2Fe18.2Ni18.2,367
Al18.2Co18.2Cr18.2Cu18.2Fe9.1Ni18.2,418
Al18.2Co18.2Cr18.2Cu18.2Fe18.2Ni9.1,423
Al5.3Co21.1Cr21.1Cu0Fe26.3Ni26.3,168
Al12.5Co12.5Cr12.5Cu0Fe12.5Ni50,225
Al0Co0Cr25Cu25Fe25Ni25,143
Al0Co5Cr23.8Cu23.8Fe23.8Ni23.8,146
Al0Co10Cr22.5Cu22.5Fe22.5Ni22.5,150
Al0Co15Cr21.3Cu21.3Fe21.3Ni21.3,158
Al0Co33.3Cr16.7Cu16.7Fe16.7Ni16.7,175
Al0Co25Cr0Cu25Fe25Ni25,154
Al0Co23.8Cr5Cu23.8Fe23.8Ni23.8,153
Al0Co22.5Cr10Cu22.5Fe22.5Ni22.5,158
Al0Co21.3Cr15Cu21.3Fe21.3Ni21.3,161
Al0Co16.7Cr33.3Cu16.7Fe16.7Ni16.7,172
Al0Co25Cr25Cu25Fe0Ni25,183
Al0Co23.8Cr23.8Cu23.8Fe5Ni23.8,182
Al0Co22.5Cr22.5Cu22.5Fe10Ni22.5,172
Al0Co21.3Cr21.3Cu21.3Fe15Ni21.3,171
Al0Co16.7Cr16.7Cu16.7Fe33.3Ni16.7,157
Al0Co22.5Cr22.5Cu22.5Fe22.5Ni10,170
Al0Co21.3Cr21.3Cu21.3Fe21.3Ni15,167
Al0Co16.7Cr16.7Cu16.7Fe16.7Ni33.3,158
Al0Co26.7Cr26.7Cu0Fe26.7Ni20,140
Al0Co20Cr20Cu0Fe20Ni40,125
Al14.3Co14.3Cr14.3Cu0Fe14.3Ni42.9,242
Al15.4Co15.4Cr15.4Cu0Fe15.4Ni38.5,265
Al16.7Co16.7Cr16.7Cu0Fe16.7Ni33.3,335
Al0Co28.3Cr28.3Cu0Fe28.3Ni15,170
Al5Co31.7Cr31.7Cu0Fe31.7Ni0,475
Al10Co30Cr30Cu0Fe30Ni0,620
Al18.2Co18.2Cr18.2Cu0Fe18.2Ni27.3,503
Al21.3Co21.3Cr21.3Cu0Fe21.3Ni15,555
Al22.5Co22.5Cr22.5Cu0Fe22.5Ni10,548
Al23.8Co23.8Cr23.8Cu0Fe23.8Ni5,615
Al25Co25Cr25Cu0Fe25Ni0,720
Al23.8Co5Cr23.8Cu0Fe23.8Ni23.8,550
Al22.5Co10Cr22.5Cu0Fe22.5Ni22.5,539
Al16.7Co33.3Cr16.7Cu0Fe16.7Ni16.7,532
Al23.8Co23.8Cr5Cu0Fe23.8Ni23.8,438
Al22.5Co22.5Cr10Cu0Fe22.5Ni22.5,476
Al21.3Co21.3Cr15Cu0Fe21.3Ni21.3,510
Al16.7Co16.7Cr33.3Cu0Fe16.7Ni16.7,617
Al25Co25Cr25Cu0Fe0Ni25,712
Al23.8Co23.8Cr23.8Cu0Fe5Ni23.8,665
Al22.5Co22.5Cr22.5Cu0Fe10Ni22.5,587
Al21.3Co21.3Cr21.3Cu0Fe15Ni21.3,558
Al16.7Co16.7Cr16.7Cu0Fe33.3Ni16.7,510
Al15Co28.3Cr28.3Cu0Fe28.3Ni0,655
Al20Co26.7Cr26.7Cu0Fe26.7Ni0,695
Al40Co20Cr20Cu0Fe20Ni0,775
Al5.7Co18.9Cr18.9Cu18.9Fe18.9Ni18.9,185
Al13.8Co17.2Cr17.2Cu17.2Fe17.2Ni17.2,273
Al20.6Co15.9Cr15.9Cu15.9Fe15.9Ni15.9,475
Al26.5Co14.7Cr14.7Cu14.7Fe14.7Ni14.7,558
Al23.1Co15.4Cr15.4Cu15.4Fe15.4Ni15.4,510
Al31.5Co13.7Cr13.7Cu13.7Fe13.7Ni13.7,603
Al33.3Co13.3Cr13.3Cu13.3Fe13.3Ni13.3,625
Al35.9Co12.8Cr12.8Cu12.8Fe12.8Ni12.8,655
Al37.5Co12.5Cr12.5Cu12.5Fe12.5Ni12.5,735
Al2.4Co24.4Cr24.4Cu0Fe24.4Ni24.4,118
Al9.1Co22.7Cr22.7Cu0Fe22.7Ni22.7,127
Al14.9Co21.3Cr21.3Cu0Fe21.3Ni21.3,338
Al16.7Co20.8Cr20.8Cu0Fe20.8Ni20.8,382
Al18.4Co20.4Cr20.4Cu0Fe20.4Ni20.4,527
Al23.1Co19.2Cr19.2Cu0Fe19.2Ni19.2,479
Al31Co17.2Cr17.2Cu0Fe17.2Ni17.2,482
Al14.3Co42.9Cr0Cu14.3Fe14.3Ni14.3,166
Al20Co20Cr0Cu20Fe20Ni20,536
Al23.8Co4.8Cr0Cu23.8Fe23.8Ni23.8,531
Al22.2Co11.1Cr0Cu22.2Fe22.2Ni22.2,545
Al18.2Co27.3Cr0Cu18.2Fe18.2Ni18.2,366
Al16.7Co33.3Cr0Cu16.7Fe16.7Ni16.7,249
Al5.9Co23.5Cr23.5Cu0Fe23.5Ni23.5,110
Al8.6Co22.9Cr22.9Cu0Fe22.9Ni22.9,131
Al15.8Co21.1Cr21.1Cu0Fe21.1Ni21.1,388
Al17.9Co20.5Cr20.5Cu0Fe20.5Ni20.5,538
Al23.8Co19Cr19Cu0Fe19Ni19,487
Al3.8Co0Cr19.2Cu19.2Fe19.2Ni38.5,162
Al5.7Co0Cr18.9Cu18.9Fe18.9Ni37.7,170
Al7.4Co0Cr18.5Cu18.5Fe18.5Ni37,200
Al9.1Co0Cr18.2Cu18.2Fe18.2Ni36.4,238
Al10.7Co0Cr17.9Cu17.9Fe17.9Ni35.7,278
Al12.3Co0Cr17.5Cu17.5Fe17.5Ni35.1,290
Al13.8Co0Cr17.2Cu17.2Fe17.2Ni34.5,315
Al15.3Co0Cr16.9Cu16.9Fe16.9Ni33.9,339
Al16.7Co0Cr16.7Cu16.7Fe16.7Ni33.3,392
Al19.4Co0Cr16.1Cu16.1Fe16.1Ni32.3,521
Al23.1Co0Cr15.4Cu15.4Fe15.4Ni30.8,546
Al24.2Co0Cr15.2Cu15.2Fe15.2Ni30.3,550
Al26.5Co0Cr14.7Cu14.7Fe14.7Ni29.4,544
Al28.6Co0Cr14.3Cu14.3Fe14.3Ni28.6,567
Al30.6Co0Cr13.9Cu13.9Fe13.9Ni27.8,576
Al33.3Co0Cr13.3Cu13.3Fe13.3Ni26.7,593
Al20Co0Cr20Cu20Fe20Ni20,479
Al21.7Co0Cr21.7Cu21.7Fe21.7Ni13,494
Al20.8Co0Cr20.8Cu20.8Fe20.8Ni16.7,486
Al19.2Co0Cr19.2Cu19.2Fe19.2Ni23.1,408
Al18.5Co0Cr18.5Cu18.5Fe18.5Ni25.9,370
Al16.7Co16.7Cr16.7Cu8.3Fe16.7Ni25,358
Al20Co20Cr20Cu10Fe10Ni20,586
Al16.7Co16.7Cr25Cu8.3Fe16.7Ni16.7,601
Al15.4Co30.8Cr15.4Cu7.7Fe15.4Ni15.4,295
Al22.2Co22.2Cr0Cu11.1Fe22.2Ni22.2,584
Al15.4Co15.4Cr15.4Cu7.7Fe15.4Ni30.8,310
Al16.7Co25Cr16.7Cu8.3Fe16.7Ni16.7,451
Al20Co20Cr10Cu10Fe20Ni20,546
Al15.4Co15.4Cr30.8Cu7.7Fe15.4Ni15.4,607
Al16.7Co16.7Cr16.7Cu8.3Fe25Ni16.7,537
Al15.4Co15.4Cr15.4Cu7.7Fe30.8Ni15.4,514
Al20Co20Cr20Cu10Fe20Ni10,604
Al22.2Co22.2Cr22.2Cu11.1Fe22.2Ni0,639
Al22.2Co0Cr22.2Cu11.1Fe22.2Ni22.2,534
Al30.8Co15.4Cr15.4Cu7.7Fe15.4Ni15.4,609
Al20Co10Cr20Cu10Fe20Ni20,551
Al11.1Co0Cr22.2Cu22.2Fe22.2Ni22.2,382
Al27.3Co0Cr18.2Cu18.2Fe18.2Ni18.2,573
Al33.3Co0Cr16.7Cu16.7Fe16.7Ni16.7,651
Al7.7Co30.8Cr0Cu0Fe30.8Ni30.8,135
